=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
     31   1.305   56.45    0.22   23.83       4.4     1.90      0.62
     32   1.347   56.45    0.22   23.83       4.5     1.90      0.62
     33   1.389   56.46    0.22   23.84       4.7     1.90      0.62
     34   1.432   56.46    0.22   23.84       4.8     1.90      0.62
     35   1.474   56.47    0.22   23.84       4.9     1.90      0.62
     36   1.516   56.47    0.22   23.84       5.0     1.90      0.62
     37   1.558   56.47    0.22   23.85       5.1     1.90      0.62
     38   1.600   56.48    0.22   23.85       5.3     1.90      0.62
     39   1.642   56.48    0.22   23.85       5.3     1.90      0.62
     40   1.684   56.49    0.22   23.85       5.4     1.90      0.62
     41   1.726   56.49    0.22   23.86       5.5     1.90      0.62
     42   1.768   56.50    0.22   23.86       5.6     1.90      0.62
     43   1.811   56.50    0.22   23.86       5.6     1.90      0.62
     44   1.853   56.51    0.22   23.87       5.7     1.90      0.62
     45   1.895   56.51    0.22   23.87       5.7     1.90      0.62
     46   1.937   56.52    0.22   23.87       5.7     1.90      0.62
     47   1.979   56.52    0.22   23.87       5.7     1.90      0.62
     48   2.021   56.53    0.22   23.88       5.8     1.90      0.62
     49   2.063   56.53    0.22   23.88       5.8     1.90      0.62
     50   2.105   56.54    0.22   23.88       5.7     1.90      0.62
     51   2.147   56.54    0.22   23.89       5.7     1.90      0.62
     52   2.189   56.55    0.22   23.89       5.7     1.90      0.62
     53   2.232   56.55    0.22   23.89       5.6     1.90      0.62
     54   2.274   56.56    0.22   23.90       5.6     1.90      0.62
     55   2.316   56.56    0.22   23.90       5.5     1.90      0.62
     56   2.358   56.57    0.22   23.90       5.4     1.90      0.62
     57   2.400   56.57    0.22   23.90       5.3     1.90      0.62
     58   2.442   56.57    0.22   23.91       5.3     1.90      0.62
     59   2.484   56.58    0.22   23.91       5.1     1.90      0.62
     60   2.526   56.58    0.22   23.91       5.0     1.90      0.62
     61   2.568   56.59    0.22   23.91       4.9     1.90      0.62
     62   2.611   56.59    0.22   23.92       4.8     1.90      0.62
     63   2.653   56.60    0.22   23.92       4.6     1.90      0.62
     64   2.695   56.60    0.22   23.92       4.5     1.90      0.62
     65   2.737   56.60    0.22   23.92       4.4     1.90      0.62
     66   2.779   56.61    0.22   23.93       4.2     1.90      0.62
     67   2.821   56.61    0.22   23.93       4.0     1.90      0.62
     68   2.863   56.61    0.22   23.93       3.9     1.90      0.62
     69   2.905   56.62    0.22   23.93       3.7     1.90      0.62
     70   2.947   56.62    0.22   23.93       3.5     1.90      0.62
     71   2.989   56.62    0.22   23.93       3.4     1.90      0.62
     72   3.032   56.63    0.22   23.94       3.2     1.90      0.62
     73   3.074   56.63    0.22   23.94       3.0     1.90      0.62
     74   3.116   56.63    0.22   23.94       2.8     1.90      0.62
